,ref_index,ref_mz,ref_z,ref_MS1,ref_minMS1,ref_maxMS1,ref_RT,ref_minRT,ref_maxRT,ref_intensity,ref_SNratio,ref_PercentageTF,comp_index,comp_mz,comp_z,comp_MS1,comp_minMS1,comp_maxMS1,comp_RT,comp_minRT,comp_maxRT,comp_intensity,comp_SNratio,comp_PercentageTF
510,1321.0,155.04433840000002,0.0,9600.0,7374.0,9999.0,1093.95,852.297,1136.82,107716.0,31.6,25.028000000000002,1162.0,155.04458594730835,0.0,9621.0,9348.0,9726.0,1097.6667601058425,1067.22,1108.25,72555.0,19.2,3.6075
511,1000.0,300.105503,0.0,8256.0,8193.0,8361.0,947.84,940.918,959.211,107654.0,42.7,1.6091,830.0,300.1054961622052,0.0,8256.0,8130.0,8319.0,949.6501069978494,935.035,955.582,100826.0,33.6,1.8066
512,390.0,333.0307892,0.0,5967.0,5883.0,6156.0,700.44,691.4010000000001,720.8739999999999,107173.0,31.5,2.5926,401.0,333.03065852541187,0.0,6261.0,6177.0,6492.0,706.7417381742174,723.579,757.7080000000001,77085.0,23.9,3.0007
513,12.0,101.05918050000001,0.0,5001.0,5001.0,9999.0,596.7,596.7040000000001,1136.82,106505.0,18.9,47.5111,16.0,101.05919096312904,0.0,5001.0,5001.0,9999.0,601.7054686024204,596.8330000000001,1137.35,53874.0,14.4,47.5242
514,1256.0,302.9985533,0.0,9327.0,7500.0,9768.0,1064.29,865.717,1112.16,106229.0,37.8,21.6783,1074.0,302.9987638036302,0.0,9306.0,9201.0,9600.0,1063.5072075856951,1051.19,1094.61,100017.0,33.1,3.8176
515,253.0,308.9957228,0.0,5631.0,5547.0,5736.0,664.28,655.29,675.6039999999999,105874.0,22.1,1.7869,257.0,308.99571495804787,0.0,5715.0,5652.0,5841.0,649.3311509398103,666.908,687.3439999999999,90903.0,23.9,1.7968
516,629.0,270.04337339999995,0.0,6996.0,6912.0,7080.0,811.47,802.362,820.5210000000001,105847.0,26.1,1.5974,581.0,270.04336114196286,0.0,7017.0,6954.0,7101.0,806.8709233158334,807.7339999999999,823.674,51907.0,15.4,1.4015
517,483.0,155.03319240000002,0.0,6345.0,5064.0,9999.0,741.26,603.45,1136.82,105839.0,24.0,46.9177,472.0,155.03327734606088,0.0,6492.0,5022.0,9978.0,739.5486144985886,599.115,1135.17,64042.0,18.0,47.1319
518,1152.0,126.9997513,0.0,8907.0,5001.0,9999.0,1018.47,596.7040000000001,1136.82,105560.0,38.5,47.5111,981.0,126.9997767017912,0.0,8886.0,5001.0,9999.0,1016.353415222321,596.8330000000001,1137.35,67768.0,24.0,47.5242
519,1513.0,145.0127642,0.0,9978.0,9474.0,9999.0,1134.56,1080.27,1136.82,105286.0,21.6,4.9744,1309.0,145.01281644869007,0.0,9957.0,9600.0,9999.0,1131.7850671043968,1094.61,1137.35,94788.0,20.5,3.7579
